일자,중식계,석식계
2021-01-27,958.18,228.32
2021-01-28,832.0200000000001,411.82
2021-01-29,610.47,254.74
2021-02-01,1262.82,538.17
2021-02-02,1043.43,495.23999999999995
2021-02-03,1031.16,388.25
2021-02-04,976.86,501.5400000000001
2021-02-05,718.92,346.05
2021-02-08,1273.85,619.35
2021-02-09,1032.95,482.8
2021-02-10,929.04,265.1
2021-02-15,1278.66,707.93
2021-02-16,1130.64,726.2
2021-02-17,983.6900000000002,388.05
2021-02-18,940.15,543.18
2021-02-19,642.67,323.35
2021-02-22,1269.54,722.12
2021-02-23,1102.69,709.43
2021-02-24,999.29,287.5
2021-02-25,938.6200000000001,553.15
2021-02-26,651.62,341.45
2021-03-02,1077.95,722.54
2021-03-03,1016.7299999999999,394.1
2021-03-04,983.0,599.57
2021-03-05,637.45,352.28
2021-03-08,1369.03,726.46
2021-03-09,1132.56,736.83
2021-03-10,965.6900000000002,381.53
2021-03-11,959.0899999999999,570.43
2021-03-12,709.95,336.44
2021-03-15,1316.77,716.27
2021-03-16,1023.55,608.38
2021-03-17,980.5,387.69
2021-03-18,914.1299999999999,464.35
2021-03-19,643.02,323.08
2021-03-22,1222.12,606.1
2021-03-23,1020.9199999999998,600.72
2021-03-24,966.8700000000001,283.17
2021-03-25,904.9,430.89
2021-03-26,613.52,296.68
2021-03-29,1250.71,586.39
2021-03-30,991.61,572.08
2021-03-31,1027.81,226.45
2021-04-01,827.6,464.86
2021-04-02,712.6,317.01
2021-04-05,1186.72,585.83
2021-04-06,1019.68,566.74
2021-04-07,1001.0,398.61
2021-04-08,890.65,458.9
2021-04-09,709.26,331.41
