일자,중식계,석식계
2021-01-27,1046.08,206.70999999999998
2021-01-28,972.46,503.37
2021-01-29,573.02,242.47999999999996
2021-02-01,1259.29,535.23
2021-02-02,1041.12,568.87
2021-02-03,1080.93,493.02
2021-02-04,1002.75,545.04
2021-02-05,630.12,319.12
2021-02-08,1285.2,662.46
2021-02-09,1052.12,537.57
2021-02-10,837.99,145.12
2021-02-15,1306.94,708.34
2021-02-16,1105.22,694.29
2021-02-17,1045.2,427.7
2021-02-18,933.75,550.28
2021-02-19,591.74,330.73
2021-02-22,1289.53,686.96
2021-02-23,1092.28,668.8
2021-02-24,920.3700000000001,354.95
2021-02-25,958.18,549.02
2021-02-26,567.8,301.62
2021-03-02,1071.35,646.07
2021-03-03,1028.28,556.66
2021-03-04,988.61,555.77
2021-03-05,632.38,403.21
2021-03-08,1348.8,668.76
2021-03-09,1142.05,687.73
2021-03-10,1029.02,481.51000000000005
2021-03-11,967.0800000000002,576.31
2021-03-12,643.75,365.23
2021-03-15,1303.6,660.19
2021-03-16,1037.16,623.25
2021-03-17,1058.96,434.38
2021-03-18,918.1900000000002,531.97
2021-03-19,616.21,352.42
2021-03-22,1225.32,629.26
2021-03-23,1054.08,625.17
2021-03-24,946.4400000000002,291.09
2021-03-25,983.46,520.74
2021-03-26,590.43,294.8
2021-03-29,1258.24,639.82
2021-03-30,1071.94,604.6
2021-03-31,1052.18,420.2799999999999
2021-04-01,907.5899999999999,522.76
2021-04-02,651.03,305.97
2021-04-05,1189.5,624.62
2021-04-06,1031.74,586.07
2021-04-07,984.7,425.88
2021-04-08,927.47,500.64
2021-04-09,644.03,370.48
