일자,중식계,석식계
2021-01-27,1020.95,194.89
2021-01-28,1001.1699999999998,495.0
2021-01-29,603.77,262.2
2021-02-01,1256.3,583.51
2021-02-02,1068.94,585.88
2021-02-03,1011.3799999999999,462.3
2021-02-04,994.39,582.75
2021-02-05,648.91,344.41
2021-02-08,1284.57,703.68
2021-02-09,1074.53,592.5
2021-02-10,847.61,104.30999999999999
2021-02-15,1279.02,728.37
2021-02-16,1124.81,723.1
2021-02-17,1031.54,395.87
2021-02-18,921.3799999999999,594.84
2021-02-19,614.0,344.66
2021-02-22,1250.32,707.1
2021-02-23,1095.2,702.95
2021-02-24,978.24,345.71
2021-02-25,935.6200000000001,580.53
2021-02-26,616.47,376.97
2021-03-02,1088.94,713.28
2021-03-03,1033.24,507.66
2021-03-04,969.3099999999998,641.49
2021-03-05,632.13,383.17
2021-03-08,1321.85,720.83
2021-03-09,1115.69,724.84
2021-03-10,1025.78,457.0
2021-03-11,958.86,634.88
2021-03-12,661.86,343.03
2021-03-15,1282.57,720.55
2021-03-16,994.1900000000002,643.91
2021-03-17,1038.16,406.24
2021-03-18,915.75,552.34
2021-03-19,640.45,338.88
2021-03-22,1241.93,645.94
2021-03-23,1023.79,648.33
2021-03-24,971.22,281.33
2021-03-25,936.6699999999998,544.95
2021-03-26,620.14,345.31
2021-03-29,1205.07,642.55
2021-03-30,1034.61,634.13
2021-03-31,1006.05,442.87
2021-04-01,920.05,524.45
2021-04-02,649.44,340.02
2021-04-05,1182.96,619.67
2021-04-06,1000.5800000000002,608.06
2021-04-07,999.4799999999999,450.12
2021-04-08,950.4799999999999,538.17
2021-04-09,652.86,370.01
