일자,중식계,석식계
2021-01-27,944.27,310.53
2021-01-28,900.97,506.14
2021-01-29,686.65,345.39
2021-02-01,1235.1,522.32
2021-02-02,1040.97,573.3
2021-02-03,1038.11,492.88
2021-02-04,988.42,539.43
2021-02-05,733.29,356.36
2021-02-08,1287.57,697.21
2021-02-09,1059.62,572.39
2021-02-10,965.28,265.71
2021-02-15,1292.67,736.11
2021-02-16,1138.78,745.52
2021-02-17,993.76,457.84
2021-02-18,983.55,613.79
2021-02-19,723.24,375.31
2021-02-22,1298.04,749.96
2021-02-23,1078.74,716.49
2021-02-24,1000.9,313.94
2021-02-25,950.04,603.23
2021-02-26,712.67,416.17
2021-03-02,1070.64,713.2
2021-03-03,1018.17,544.28
2021-03-04,985.5,633.22
2021-03-05,646.4,387.72
2021-03-08,1313.94,768.48
2021-03-09,1148.82,774.07
2021-03-10,989.47,479.34
2021-03-11,972.21,646.86
2021-03-12,731.1,364.42
2021-03-15,1291.46,740.14
2021-03-16,1033.67,660.5
2021-03-17,1000.69,438.19
2021-03-18,965.32,579.02
2021-03-19,755.26,373.47
2021-03-22,1219.53,667.76
2021-03-23,1011.66,650.66
2021-03-24,963.78,266.94
2021-03-25,941.13,552.72
2021-03-26,758.23,378.56
2021-03-29,1189.59,649.47
2021-03-30,996.02,644.31
2021-03-31,1000.09,388.28
2021-04-01,905.34,560.33
2021-04-02,726.08,356.09
2021-04-05,1193.96,650.4
2021-04-06,1009.2,657.16
2021-04-07,1016.31,426.72
2021-04-08,921.81,554.25
2021-04-09,723.81,374.71
