일자,중식계,석식계
2021-01-27,1018.9100000000001,80.88
2021-01-28,970.8799999999999,481.9700000000001
2021-01-29,592.63,196.2
2021-02-01,1260.07,616.46
2021-02-02,1032.25,608.33
2021-02-03,1082.61,567.91
2021-02-04,1013.1699999999998,602.74
2021-02-05,657.29,401.61
2021-02-08,1295.04,695.59
2021-02-09,1072.66,620.38
2021-02-10,886.1299999999999,173.59
2021-02-15,1306.79,704.51
2021-02-16,1111.2,689.14
2021-02-17,1006.8300000000002,414.88
2021-02-18,940.0899999999999,599.76
2021-02-19,624.34,339.8
2021-02-22,1291.11,696.69
2021-02-23,1093.62,688.69
2021-02-24,963.9100000000001,386.73
2021-02-25,948.1200000000001,580.88
2021-02-26,580.41,313.74
2021-03-02,1066.92,695.78
2021-03-03,1041.48,629.88
2021-03-04,991.57,623.86
2021-03-05,643.94,445.1
2021-03-08,1340.81,713.16
2021-03-09,1124.98,714.41
2021-03-10,1010.9,509.61
2021-03-11,991.5200000000001,645.94
2021-03-12,663.57,365.02
2021-03-15,1301.06,724.6
2021-03-16,1026.77,677.43
2021-03-17,1025.9,414.3
2021-03-18,945.3399999999999,577.21
2021-03-19,634.69,335.26
2021-03-22,1229.93,670.87
2021-03-23,1041.06,668.64
2021-03-24,964.14,279.7
2021-03-25,987.11,551.49
2021-03-26,608.89,316.15
2021-03-29,1249.43,683.61
2021-03-30,1049.82,671.3
2021-03-31,1066.22,450.87
2021-04-01,895.5,510.15
2021-04-02,651.76,340.89
2021-04-05,1198.09,607.47
2021-04-06,1032.15,598.85
2021-04-07,998.7700000000001,463.37
2021-04-08,919.8300000000002,509.65
2021-04-09,643.08,388.7
