일자,중식계,석식계
2021-01-27,961.4799999999999,284.38
2021-01-28,866.78,477.16999999999996
2021-01-29,592.99,263.77
2021-02-01,1268.54,575.83
2021-02-02,1027.0,580.93
2021-02-03,1034.98,496.4
2021-02-04,985.1699999999998,557.98
2021-02-05,737.1,354.74
2021-02-08,1291.82,696.01
2021-02-09,1041.1,593.75
2021-02-10,895.22,141.33
2021-02-15,1299.63,723.92
2021-02-16,1135.72,744.4
2021-02-17,995.68,440.07
2021-02-18,950.29,604.11
2021-02-19,668.61,350.22
2021-02-22,1284.09,745.83
2021-02-23,1108.85,731.33
2021-02-24,1015.07,344.32
2021-02-25,944.1699999999998,606.74
2021-02-26,651.51,349.74
2021-03-02,1080.01,743.61
2021-03-03,1028.86,511.11
2021-03-04,988.39,642.56
2021-03-05,648.0,347.86
2021-03-08,1367.65,740.26
2021-03-09,1133.54,752.09
2021-03-10,975.65,468.26000000000005
2021-03-11,983.8799999999999,652.74
2021-03-12,735.95,352.62
2021-03-15,1318.92,733.55
2021-03-16,1033.13,669.96
2021-03-17,989.46,441.0400000000001
2021-03-18,930.45,538.22
2021-03-19,670.34,357.49
2021-03-22,1230.4,666.79
2021-03-23,1015.3399999999999,653.63
2021-03-24,961.5899999999999,229.68
2021-03-25,936.46,538.6
2021-03-26,619.92,283.54
2021-03-29,1270.83,648.44
2021-03-30,994.4799999999999,644.82
2021-03-31,1028.53,396.55
2021-04-01,877.0800000000002,543.53
2021-04-02,723.19,320.19
2021-04-05,1197.85,626.56
2021-04-06,1035.41,626.99
2021-04-07,1005.28,428.73
2021-04-08,893.86,504.48
2021-04-09,725.84,372.02
