일자,중식계,석식계
2021-01-27,981.475,252.86000000000004
2021-01-28,890.8,483.18999999999994
2021-01-29,621.49,271.48
2021-02-01,1256.43,585.76
2021-02-02,1012.51,574.615
2021-02-03,1025.0,467.2
2021-02-04,992.1,550.16
2021-02-05,694.91,383.5
2021-02-08,1307.155,694.14
2021-02-09,1050.48,575.59
2021-02-10,930.78,142.62
2021-02-15,1284.065,719.9
2021-02-16,1088.63,739.07
2021-02-17,986.6900000000002,429.65
2021-02-18,953.9,633.78
2021-02-19,688.86,391.81
2021-02-22,1279.55,742.88
2021-02-23,1113.695,724.48
2021-02-24,995.7149999999999,332.59
2021-02-25,947.53,604.81
2021-02-26,641.55,372.99
2021-03-02,1071.07,743.24
2021-03-03,1043.61,490.68500000000006
2021-03-04,994.8399999999999,632.02
2021-03-05,630.11,409.88
2021-03-08,1353.875,751.87
2021-03-09,1076.13,765.08
2021-03-10,992.8799999999999,466.51000000000005
2021-03-11,962.1699999999998,656.37
2021-03-12,701.78,387.46
2021-03-15,1296.725,742.8
2021-03-16,1031.42,674.26
2021-03-17,992.0599999999998,407.31
2021-03-18,934.4799999999999,543.75
2021-03-19,719.38,392.23
2021-03-22,1217.44,676.44
2021-03-23,1020.6049999999999,656.03
2021-03-24,945.6450000000001,231.13000000000002
2021-03-25,924.82,547.2
2021-03-26,627.13,341.64
2021-03-29,1272.12,654.44
2021-03-30,988.575,644.94
2021-03-31,1005.9,351.03
2021-04-01,872.51,536.275
2021-04-02,720.09,351.09
2021-04-05,1182.98,634.02
2021-04-06,1022.625,645.03
2021-04-07,1036.73,432.4
2021-04-08,910.55,525.56
2021-04-09,705.69,393.93
