일자,중식계,석식계
2021-01-27,1044.11,198.17
2021-01-28,970.0599999999998,503.56000000000006
2021-01-29,568.63,229.7
2021-02-01,1249.52,543.1
2021-02-02,1034.87,569.25
2021-02-03,1079.76,492.68999999999994
2021-02-04,1007.74,548.02
2021-02-05,619.7,319.34
2021-02-08,1282.84,666.69
2021-02-09,1047.26,539.97
2021-02-10,839.75,134.51
2021-02-15,1307.44,709.17
2021-02-16,1107.12,690.37
2021-02-17,1037.78,418.66
2021-02-18,926.65,550.05
2021-02-19,593.98,327.31
2021-02-22,1288.84,688.42
2021-02-23,1092.08,670.33
2021-02-24,927.26,372.19
2021-02-25,955.43,548.52
2021-02-26,588.17,298.66
2021-03-02,1070.74,648.16
2021-03-03,1022.6,559.09
2021-03-04,993.8700000000001,555.4
2021-03-05,628.17,412.86
2021-03-08,1347.07,665.4
2021-03-09,1150.05,688.0
2021-03-10,1017.61,475.9
2021-03-11,972.05,587.04
2021-03-12,630.0,358.92
2021-03-15,1307.37,660.37
2021-03-16,1036.49,629.94
2021-03-17,1063.19,432.91
2021-03-18,915.3099999999998,526.48
2021-03-19,606.56,345.27
2021-03-22,1225.06,630.6
2021-03-23,1045.42,624.35
2021-03-24,946.2,293.95
2021-03-25,979.96,526.38
2021-03-26,588.09,276.23
2021-03-29,1261.29,644.04
2021-03-30,1078.64,606.99
2021-03-31,1053.71,418.9
2021-04-01,909.7700000000001,517.73
2021-04-02,636.22,315.07
2021-04-05,1187.39,618.23
2021-04-06,1027.38,590.96
2021-04-07,987.99,424.0
2021-04-08,928.8399999999999,502.98999999999995
2021-04-09,634.79,363.75
