일자,기온,풍속,체감온도
2016-02-01,-0.2,1.3,-1.1
2016-02-02,-2.3,0.8,-2.7
2016-02-03,-1.9,0.6,-2.2
2016-02-04,-0.6,0.7,-0.8
2016-02-05,1.5,1,1.2
2016-02-06,-0.3,1.7,-1.6
2016-02-07,-1.7,0.7,-1.9
2016-02-08,0.8,1.5,0.1
2016-02-09,5,2.4,3.7
2016-02-10,1.7,0.8,1.5
2016-02-11,5.2,0.9,5.1
2016-02-12,8.8,1.2,8.6
2016-02-13,11.5,0.8,11.5
2016-02-14,5.4,2.8,3.8
2016-02-15,-1.2,1.8,-2.8
2016-02-16,-0.2,1.8,-1.2
2016-02-17,1.7,1.1,1.3
2016-02-18,1.9,1,1.6
2016-02-19,4.8,0.9,4.6
2016-02-20,6.2,1.7,5.3
2016-02-21,2.5,1.3,1.8
2016-02-22,3,0.8,2.8
2016-02-23,5.5,1.8,4.7
2016-02-24,1.6,1.5,0.5
2016-02-25,0.9,1.8,-0.4
2016-02-26,1.5,1,1.2
2016-02-27,7.5,1.7,7.1
2016-02-28,6,1.4,5.6
2016-02-29,0.2,2.8,-2.5
2016-03-01,-1.1,1.1,-1.8
2016-03-02,2.8,1.3,2.3
2016-03-03,6.3,1.1,6.3
2016-03-04,8.1,0.8,8
2016-03-05,11.7,1.4,11.6
2016-03-06,14.3,1,14.3
2016-03-07,11,1.2,10.9
2016-03-08,8.4,1.3,7.9
2016-03-09,5.4,1.5,4.9
2016-03-10,3.3,2,2.2
2016-03-11,2,1.5,1.2
2016-03-12,2.4,1,2
2016-03-13,4.8,0.9,4.6
2016-03-14,5.4,1.4,5
2016-03-15,5.3,1,5.2
2016-03-16,8.6,1.2,8.5
2016-03-17,8.8,1.1,8.8
2016-03-18,9.9,0.6,9.9
2016-03-19,11.6,1,11.5
2016-03-20,9.4,1,9.3
2016-03-21,9.6,1.1,9.6
2016-03-22,9.5,1,9.4
2016-03-23,10.3,1.4,10.1
2016-03-24,8.6,2,7.9
2016-03-25,6.9,1.3,6.7
2016-03-26,6.6,1.1,6.4
2016-03-27,7.5,0.9,7.4
2016-03-28,8.3,0.9,8.3
2016-03-29,9.9,1.7,9.7
2016-03-30,14.2,1.4,14.2
2016-03-31,12,0.8,12
2016-04-01,13.3,1.1,13.3
2016-04-02,12.8,1.2,12.8
2016-04-03,12.3,0.7,12.3
2016-04-04,11.2,1.1,11.1
2016-04-05,12.7,0.9,12.7
2016-04-06,11.6,0.9,11.6
2016-04-07,12.1,0.8,12.1
2016-04-08,14.9,0.9,14.9
2016-04-09,14.8,1,14.8
2016-04-10,14.1,1.2,14.1
2016-04-11,11,1.8,10.6
2016-04-12,11.3,1.3,11.3
2016-04-13,13.3,0.5,13.3
2016-04-14,17.4,1.3,17.4
2016-04-15,13.2,1.2,13.1
2016-04-16,12.4,1.5,12.3
2016-04-17,15.8,3.4,15.5
2016-04-18,14.2,1.6,14.2
2016-04-19,14,1.8,13.8
2016-04-20,13,1.1,13
2016-04-21,13.9,0.7,13.9
2016-04-22,17.1,1.3,17.1
2016-04-23,15.5,0.6,15.5
2016-04-24,14.9,0.9,14.9
2016-04-25,15.5,1.1,15.5
2016-04-26,15.8,1.2,15.8
2016-04-27,11.7,1.9,11.3
2016-04-28,13.9,0.9,13.9
2016-04-29,15.2,1.3,15.2
2016-04-30,16.1,1.5,16.1
2016-05-01,16.7,1.4,16.7
2016-05-02,17.1,1.4,17.1
2016-05-03,17.1,4.5,16.7
2016-05-04,18.5,4.3,18.2
2016-05-05,15.8,1,15.8
2016-05-06,17.5,0.8,17.5
2016-05-07,18.7,1.5,18.7
2016-05-08,16.6,1.5,16.6
2016-05-09,17.4,0.8,17.4
2016-05-10,14.9,1.1,14.8
2016-05-11,15.8,1,15.8
2016-05-12,17.3,1.5,17.3
2016-05-13,16.8,1.3,16.8
2016-05-14,16.8,1.1,16.8
2016-05-15,17.3,1.1,17.3
2016-05-16,16.1,1.9,15.9
2016-05-17,16.1,1,16.1
2016-05-18,19.1,1,19.1
2016-05-19,19.3,0.9,19.3
2016-05-20,19.3,1,19.3
2016-05-21,19.2,1,19.2
2016-05-22,19.5,1.1,19.5
2016-05-23,19.4,1.1,19.4
2016-05-24,19.1,1.1,19.1
2016-05-25,19.4,0.9,19.4
2016-05-26,20.3,1,20.3
